"","Year","Month","Site","PM","SM","unknown","NA","total","proportion","SiteType"
"239",2016,"May","LS",10,5,0,0,15,0.666666666666667,"Less Contaminated"
"240",2016,"May","P27",4,5,2,0,11,0.363636363636364,"More Contaminated"
"241",2016,"May","SI",1,1,1,0,3,0.333333333333333,"More Contaminated"
"242",2016,"October","DC",1,0,0,0,1,1,"Less Contaminated"
"243",2016,"October","LS",0,0,2,0,2,0,"Less Contaminated"
"244",2016,"October","SI",1,0,0,0,1,1,"More Contaminated"
"245",2016,"September","LS",1,1,0,0,2,0.5,"Less Contaminated"
"246",2017,"August","DC",2,0,0,0,2,1,"Less Contaminated"
"247",2017,"August","FP",1,1,0,0,2,0.5,"Less Contaminated"
"248",2017,"August","P27",16,8,1,0,25,0.64,"More Contaminated"
"249",2017,"August","SI",1,0,1,0,2,0.5,"More Contaminated"
"250",2017,"July","DC",1,1,0,0,2,0.5,"Less Contaminated"
"251",2017,"July","FP",3,3,2,0,8,0.375,"Less Contaminated"
"252",2017,"July","GC",3,0,0,0,3,1,"Less Contaminated"
"253",2017,"July","LS",11,0,1,0,12,0.916666666666667,"Less Contaminated"
"254",2017,"July","P27",9,10,0,0,19,0.473684210526316,"More Contaminated"
"255",2017,"July","SI",4,4,0,0,8,0.5,"More Contaminated"
"256",2017,"June","FP",2,2,0,0,4,0.5,"Less Contaminated"
"257",2017,"June","GC",2,0,0,0,2,1,"Less Contaminated"
"258",2017,"June","LS",6,5,0,0,11,0.545454545454545,"Less Contaminated"
"259",2017,"June","P27",3,0,0,0,3,1,"More Contaminated"
"260",2017,"June","SI",1,3,3,0,7,0.142857142857143,"More Contaminated"
"261",2017,"May","FP",7,1,2,0,10,0.7,"Less Contaminated"
"262",2017,"May","GC",1,1,1,0,3,0.333333333333333,"Less Contaminated"
"263",2017,"May","LS",14,5,6,0,25,0.56,"Less Contaminated"
"264",2017,"May","P27",3,1,1,0,5,0.6,"More Contaminated"
"265",2017,"May","SI",5,4,1,0,10,0.5,"More Contaminated"
"266",2017,"October","DC",1,0,1,0,2,0.5,"Less Contaminated"
"267",2017,"October","LS",0,0,1,0,1,0,"Less Contaminated"
"268",2018,"August","DC",0,1,0,0,1,0,"Less Contaminated"
"269",2018,"August","FP",1,0,0,0,1,1,"Less Contaminated"
"270",2018,"August","P27",1,0,0,0,1,1,"More Contaminated"
"271",2018,"August","SI",1,0,0,0,1,1,"More Contaminated"
"272",2018,"July","DC",9,2,0,0,11,0.818181818181818,"Less Contaminated"
"273",2018,"July","FP",5,1,0,0,6,0.833333333333333,"Less Contaminated"
"274",2018,"July","LS",1,2,0,0,3,0.333333333333333,"Less Contaminated"
"275",2018,"July","P27",4,3,0,0,7,0.571428571428571,"More Contaminated"
"276",2018,"July","SI",9,6,2,0,17,0.529411764705882,"More Contaminated"
"277",2018,"June","DC",0,1,0,0,1,0,"Less Contaminated"
"278",2018,"June","FP",4,1,0,0,5,0.8,"Less Contaminated"
"279",2018,"June","LS",0,7,0,0,7,0,"Less Contaminated"
"280",2018,"June","P27",1,0,0,0,1,1,"More Contaminated"
"281",2018,"June","SI",9,0,4,0,13,0.692307692307692,"More Contaminated"
"282",2018,"May","FP",1,0,0,0,1,1,"Less Contaminated"
"283",2018,"May","GC",1,0,0,0,1,1,"Less Contaminated"
"284",2018,"May","LS",1,2,0,0,3,0.333333333333333,"Less Contaminated"
"285",2018,"May","P27",2,0,1,0,3,0.666666666666667,"More Contaminated"
"286",2018,"May","SI",0,1,0,0,1,0,"More Contaminated"
"287",2019,"August","DC",2,0,0,0,2,1,"Less Contaminated"
"288",2019,"August","FP",0,1,0,0,1,0,"Less Contaminated"
"289",2019,"August","LS",4,1,1,0,6,0.666666666666667,"Less Contaminated"
"290",2019,"August","P27",10,2,0,0,12,0.833333333333333,"More Contaminated"
"291",2019,"August","SI",2,1,0,0,3,0.666666666666667,"More Contaminated"
"292",2019,"July","DC",10,1,1,0,12,0.833333333333333,"Less Contaminated"
"293",2019,"July","FP",1,2,1,0,4,0.25,"Less Contaminated"
"294",2019,"July","GC",1,0,0,0,1,1,"Less Contaminated"
"295",2019,"July","LS",4,2,1,0,7,0.571428571428571,"Less Contaminated"
"296",2019,"July","P27",17,6,2,0,25,0.68,"More Contaminated"
"297",2019,"July","SI",12,3,0,0,15,0.8,"More Contaminated"
"298",2019,"June","FP",7,0,3,0,10,0.7,"Less Contaminated"
"299",2019,"June","LS",2,1,0,0,3,0.666666666666667,"Less Contaminated"
"300",2019,"June","P27",2,2,2,0,6,0.333333333333333,"More Contaminated"
"301",2019,"June","SI",2,2,0,0,4,0.5,"More Contaminated"
"302",2019,"May","LS",1,0,0,0,1,1,"Less Contaminated"
"303",2019,"October","DC",0,1,0,0,1,0,"Less Contaminated"
"304",2019,"October","LS",2,0,0,0,2,1,"Less Contaminated"
"305",2019,"October","SI",0,1,0,0,1,0,"More Contaminated"
"306",2019,"September","DC",0,0,1,0,1,0,"Less Contaminated"
"307",2019,"September","GC",0,0,1,0,1,0,"Less Contaminated"
"308",2020,"August","DC",1,0,1,0,2,0.5,"Less Contaminated"
"309",2020,"August","FP",0,1,1,0,2,0,"Less Contaminated"
"310",2020,"August","GC",1,0,0,0,1,1,"Less Contaminated"
"311",2020,"August","LS",1,0,0,0,1,1,"Less Contaminated"
"312",2020,"August","P27",0,1,0,0,1,0,"More Contaminated"
"313",2020,"August","SI",5,0,0,0,5,1,"More Contaminated"
"314",2020,"July","DC",13,10,3,0,26,0.5,"Less Contaminated"
"315",2020,"July","FP",3,0,1,0,4,0.75,"Less Contaminated"
"316",2020,"July","GC",6,0,0,0,6,1,"Less Contaminated"
"317",2020,"July","LS",10,4,1,0,15,0.666666666666667,"Less Contaminated"
"318",2020,"July","P27",2,1,0,0,3,0.666666666666667,"More Contaminated"
"319",2020,"July","SI",11,1,1,0,13,0.846153846153846,"More Contaminated"
"320",2020,"June","DC",23,2,0,0,25,0.92,"Less Contaminated"
"321",2020,"June","FP",5,2,0,0,7,0.714285714285714,"Less Contaminated"
"322",2020,"June","GC",5,1,0,0,6,0.833333333333333,"Less Contaminated"
"323",2020,"June","LS",1,2,0,0,3,0.333333333333333,"Less Contaminated"
"324",2020,"June","SI",4,4,2,0,10,0.4,"More Contaminated"
"325",2020,"May","FP",1,0,0,0,1,1,"Less Contaminated"
"326",2020,"October","DC",0,2,0,0,2,0,"Less Contaminated"
"327",2020,"October","LS",0,1,1,0,2,0,"Less Contaminated"
"328",2020,"October","P27",0,1,0,0,1,0,"More Contaminated"
"329",2020,"October","SI",0,0,2,0,2,0,"More Contaminated"
"330",2021,"August","DC",1,0,0,0,1,1,"Less Contaminated"
"331",2021,"August","LS",4,0,0,0,4,1,"Less Contaminated"
"332",2021,"August","P27",1,0,0,0,1,1,"More Contaminated"
"333",2021,"August","SI",3,0,0,0,3,1,"More Contaminated"
"334",2021,"July","DC",9,2,0,0,11,0.818181818181818,"Less Contaminated"
"335",2021,"July","FP",3,3,0,0,6,0.5,"Less Contaminated"
"336",2021,"July","GC",2,0,0,0,2,1,"Less Contaminated"
"337",2021,"July","LS",4,1,0,0,5,0.8,"Less Contaminated"
"338",2021,"July","SI",8,4,8,0,20,0.4,"More Contaminated"
"339",2021,"June","DC",25,5,3,0,33,0.757575757575758,"Less Contaminated"
"340",2021,"June","FP",13,3,1,0,17,0.764705882352941,"Less Contaminated"
"341",2021,"June","GC",0,1,0,0,1,0,"Less Contaminated"
"342",2021,"June","LS",7,5,0,0,12,0.583333333333333,"Less Contaminated"
"343",2021,"June","SI",16,8,11,0,35,0.457142857142857,"More Contaminated"
"344",2021,"May","DC",11,2,1,0,14,0.785714285714286,"Less Contaminated"
"345",2021,"May","FP",5,2,2,0,9,0.555555555555556,"Less Contaminated"
"346",2021,"May","LS",8,10,2,0,20,0.4,"Less Contaminated"
"347",2021,"May","P27",2,0,0,0,2,1,"More Contaminated"
"348",2021,"May","SI",5,15,6,0,26,0.192307692307692,"More Contaminated"
"349",2021,"October","DC",1,0,3,0,4,0.25,"Less Contaminated"
"350",2021,"October","LS",0,0,1,0,1,0,"Less Contaminated"
"351",2022,"August","DC",5,0,0,0,5,1,"Less Contaminated"
"352",2022,"August","LS",16,0,0,0,16,1,"Less Contaminated"
"353",2022,"August","P27",8,2,0,0,10,0.8,"More Contaminated"
"354",2022,"August","SI",1,0,0,0,1,1,"More Contaminated"
"355",2022,"July","DC",0,1,0,0,1,0,"Less Contaminated"
"356",2022,"July","FP",3,3,0,0,6,0.5,"Less Contaminated"
"357",2022,"July","GC",2,0,0,0,2,1,"Less Contaminated"
"358",2022,"July","LS",35,6,0,0,41,0.853658536585366,"Less Contaminated"
"359",2022,"July","P27",4,5,0,0,9,0.444444444444444,"More Contaminated"
"360",2022,"July","SI",36,5,1,0,42,0.857142857142857,"More Contaminated"
"361",2022,"June","DC",14,4,0,0,18,0.777777777777778,"Less Contaminated"
"362",2022,"June","FP",14,5,0,0,19,0.736842105263158,"Less Contaminated"
"363",2022,"June","GC",2,0,0,0,2,1,"Less Contaminated"
"364",2022,"June","LS",18,2,1,0,21,0.857142857142857,"Less Contaminated"
"365",2022,"June","P27",4,4,0,0,8,0.5,"More Contaminated"
"366",2022,"June","SI",6,3,2,0,11,0.545454545454545,"More Contaminated"
"367",2022,"May","DC",7,1,0,0,8,0.875,"Less Contaminated"
"368",2022,"May","FP",2,1,0,0,3,0.666666666666667,"Less Contaminated"
"369",2022,"May","LS",0,1,0,0,1,0,"Less Contaminated"
"370",2022,"May","P27",5,0,0,0,5,1,"More Contaminated"
"371",2022,"May","SI",2,2,0,0,4,0.5,"More Contaminated"
"372",2022,"October","DC",1,0,1,0,2,0.5,"Less Contaminated"
"373",2022,"October","FP",0,0,1,0,1,0,"Less Contaminated"
"374",2022,"October","LS",0,0,1,0,1,0,"Less Contaminated"
"375",2022,"September","LS",1,0,0,0,1,1,"Less Contaminated"
"376",2022,"September","SI",0,1,0,0,1,0,"More Contaminated"
